HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
23433,,,5.037427,31.263707,9.000,0.395,hip2,HIP23433,
40060,,,8.183258,65.222806,9.000,1.189,hip2,HIP40060,
44262,,,9.013677,23.780413,9.000,0.714,hip2,HIP44262,
74348,,,15.194453,-42.190560,9.000,0.182,hip2,HIP74348,
16860,,,3.616153,-28.130864,9.000,0.730,hip2,HIP16860,
60199,,,12.344972,-20.227269,9.000,0.329,hip2,HIP60199,
86502,,,17.677117,-35.366421,9.000,1.160,hip2,HIP86502,
2624,,,0.554736,56.543760,9.000,1.544,hip2,HIP2624,
33548,,,6.971692,80.928440,9.000,0.750,hip2,HIP33548,
36840,,,7.575364,-63.493968,9.000,1.064,hip2,HIP36840,
46579,,,9.498616,-61.573893,9.000,0.400,hip2,HIP46579,
80576,,,16.451793,-12.091104,9.000,0.740,hip2,HIP80576,
89904,,,18.345158,-30.122334,9.000,1.653,hip2,HIP89904,
91912,,,18.737212,-74.741537,9.000,1.061,hip2,HIP91912,
116149,,,23.533137,54.920830,9.000,0.089,hip2,HIP116149,
31438,,,6.587219,-62.502695,9.001,0.913,hip2,HIP31438,
57236,,,11.735830,-17.133317,9.001,1.028,hip2,HIP57236,
71472,,,14.617267,27.999436,9.001,1.047,hip2,HIP71472,
101884,,,20.646545,89.406535,9.001,0.236,hip2,HIP101884,
116731,,,23.656387,7.077653,9.001,0.163,hip2,HIP116731,
42763,,,8.714444,31.722384,9.001,0.697,hip2,HIP42763,
96444,,,19.608244,-68.323735,9.001,0.076,hip2,HIP96444,
1070,,,0.221475,19.521274,9.001,1.136,hip2,HIP1070,
8821,,,1.889834,70.042611,9.001,0.525,hip2,HIP8821,
9456,,,2.027053,-60.877153,9.001,1.298,hip2,HIP9456,
59327,,,12.170644,14.527471,9.001,0.440,hip2,HIP59327,
66306,,,13.589286,37.405843,9.001,1.390,hip2,HIP66306,
70166,,,14.356083,-56.964845,9.001,0.200,hip2,HIP70166,
76373,,,15.598185,-49.973876,9.001,1.556,hip2,HIP76373,
1380,,,0.287716,-4.449027,9.001,1.078,hip2,HIP1380,
56225,,,11.526345,-31.109696,9.001,1.490,hip2,HIP56225,
70608,,,14.443005,-18.820060,9.001,0.840,hip2,HIP70608,
73247,,,14.970048,-61.234459,9.001,0.212,hip2,HIP73247,
85807,,,17.532992,-58.597627,9.001,0.173,hip2,HIP85807,
113182,,,22.919261,-73.069515,9.001,0.992,hip2,HIP113182,
116203,,,23.544255,56.747437,9.001,1.029,hip2,HIP116203,
19193,,,4.113284,4.888386,9.001,0.473,hip2,HIP19193,
40783,,,8.323855,1.602915,9.001,0.029,hip2,HIP40783,
45402,,,9.252381,55.441883,9.001,0.530,hip2,HIP45402,
94295,,,19.193143,-0.070254,9.001,1.229,hip2,HIP94295,
100505,,,20.380029,53.407313,9.001,0.343,hip2,HIP100505,
