HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
36035,,,7.426471,20.495197,7.000,0.332,hip2,HIP36035,
1147,,,0.239124,-21.196394,7.000,0.501,hip2,HIP1147,
30532,,,6.418255,16.994700,7.000,-0.050,hip2,HIP30532,
31000,,,6.506076,22.544940,7.000,0.030,hip2,HIP31000,
115547,,,23.405238,-72.165086,7.000,0.541,hip2,HIP115547,
70645,,,14.449663,-59.237633,7.000,1.495,hip2,HIP70645,
6797,,,1.457856,-9.297074,7.001,1.429,hip2,HIP6797,
4006,,,0.857203,63.781171,7.001,0.494,hip2,HIP4006,
91571,,,18.672947,8.868468,7.001,0.220,hip2,HIP91571,
30051,,,6.323721,13.433965,7.001,0.470,hip2,HIP30051,
111664,,,22.620819,42.810341,7.001,1.452,hip2,HIP111664,
98998,,,20.098889,4.775564,7.001,0.099,hip2,HIP98998,
107971,,,21.874186,54.682977,7.001,1.026,hip2,HIP107971,
20027,,,4.295540,62.346627,7.001,2.038,hip2,HIP20027,
58334,,,11.962849,-60.451356,7.001,1.057,hip2,HIP58334,
11997,,,2.577858,50.065775,7.001,0.050,hip2,HIP11997,
50971,,,10.411597,82.801675,7.001,0.999,hip2,HIP50971,
30004,,,6.315442,-25.012779,7.001,-0.126,hip2,HIP30004,
12170,,,2.613942,-20.121838,7.002,1.117,hip2,HIP12170,
47873,,,9.756763,-32.682632,7.002,0.468,hip2,HIP47873,
110522,,,22.391006,0.608638,7.002,0.184,hip2,HIP110522,
12804,,,2.742513,46.841715,7.002,0.445,hip2,HIP12804,
20243,,,4.337580,-2.628542,7.002,1.468,hip2,HIP20243,
78541,,,16.034682,-36.743862,7.002,0.006,hip2,HIP78541,
113793,,,23.044179,63.340845,7.002,1.309,hip2,HIP113793,
13909,,,2.985630,-55.565262,7.002,1.302,hip2,HIP13909,
96979,,,19.712739,8.382631,7.002,0.503,hip2,HIP96979,
6288,,,1.344618,-13.889994,7.002,0.989,hip2,HIP6288,
14655,,,3.156154,64.299699,7.002,0.955,hip2,HIP14655,
19206,,,4.116843,-10.000110,7.002,0.576,hip2,HIP19206,
28464,,,6.009924,-58.102154,7.002,0.098,hip2,HIP28464,
94043,,,19.145887,34.760308,7.002,-0.127,hip2,HIP94043,
100949,,,20.467747,33.887945,7.002,-0.026,hip2,HIP100949,
2796,,,0.593659,67.925959,7.002,2.040,hip2,HIP2796,
9469,,,2.030586,-63.622757,7.002,0.561,hip2,HIP9469,
91093,,,18.581562,-52.387351,7.002,1.130,hip2,HIP91093,
30455,,,6.401701,-36.702970,7.002,0.932,hip2,HIP30455,
40621,,,8.292836,-58.697520,7.002,-0.010,hip2,HIP40621,
55629,,,11.396541,-36.089214,7.002,0.011,hip2,HIP55629,
63179,,,12.944115,43.552011,7.002,0.113,hip2,HIP63179,
84657,,,17.306668,-50.210966,7.002,0.008,hip2,HIP84657,
24038,,,5.167336,-40.559522,7.003,1.537,hip2,HIP24038,
29752,,,6.265693,10.281808,7.003,1.220,hip2,HIP29752,
66806,,,13.694306,-75.115362,7.003,0.461,hip2,HIP66806,
113085,,,22.901970,-12.190309,7.003,1.386,hip2,HIP113085,
32637,,,6.807612,-12.840612,7.003,-0.090,hip2,HIP32637,
64302,,,13.179457,34.300717,7.003,0.486,hip2,HIP64302,
18602,,,3.980507,57.450977,7.003,0.103,hip2,HIP18602,
51870,,,10.597681,-49.231082,7.003,0.130,hip2,HIP51870,
31057,,,6.516975,-66.870724,7.003,1.363,hip2,HIP31057,
55193,,,11.300389,22.179973,7.003,0.925,hip2,HIP55193,
81113,,,16.566439,52.237953,7.003,1.011,hip2,HIP81113,
96018,,,19.522827,-46.272974,7.003,0.990,hip2,HIP96018,
43013,,,8.765730,-32.163851,7.003,1.149,hip2,HIP43013,
101013,,,20.478945,-23.983690,7.003,1.236,hip2,HIP101013,
16357,,,3.512506,42.202484,7.003,0.387,hip2,HIP16357,
14898,,,3.204271,-20.619599,7.003,-0.119,hip2,HIP14898,
16815,,,3.606953,-79.098643,7.003,1.015,hip2,HIP16815,
25877,,,5.524090,38.319694,7.003,1.802,hip2,HIP25877,
75980,,,15.516357,-47.920297,7.003,0.895,hip2,HIP75980,
37179,,,7.639092,33.186812,7.004,1.266,hip2,HIP37179,
48184,,,9.821460,-8.835074,7.004,1.303,hip2,HIP48184,
102474,,,20.765831,7.379096,7.004,0.065,hip2,HIP102474,
106071,,,21.485094,44.923086,7.004,0.250,hip2,HIP106071,
88606,,,18.091872,51.946938,7.004,1.165,hip2,HIP88606,
96517,,,19.621553,38.594193,7.004,0.287,hip2,HIP96517,
17791,,,3.808357,24.345629,7.004,0.128,hip2,HIP17791,
20269,,,4.344814,-16.830004,7.004,1.682,hip2,HIP20269,
115772,,,23.454783,65.621052,7.004,1.030,hip2,HIP115772,
89960,,,18.354570,-30.941428,7.004,0.023,hip2,HIP89960,
90549,,,18.476357,-77.366074,7.004,1.077,hip2,HIP90549,
108903,,,22.059860,-55.976731,7.004,0.564,hip2,HIP108903,
5414,,,1.153631,69.686526,7.004,0.240,hip2,HIP5414,
60088,,,12.322275,-8.914599,7.004,1.094,hip2,HIP60088,
34943,,,7.230603,28.494069,7.004,0.007,hip2,HIP34943,
39447,,,8.064029,22.070815,7.004,1.190,hip2,HIP39447,
45968,,,9.374832,-17.893973,7.004,0.402,hip2,HIP45968,
10776,,,2.311544,8.180696,7.004,1.095,hip2,HIP10776,
86016,,,17.579287,34.751390,7.005,0.223,hip2,HIP86016,
18383,,,3.929540,56.919097,7.005,0.286,hip2,HIP18383,
35544,,,7.334669,-20.704066,7.005,0.011,hip2,HIP35544,
15819,,,3.396474,48.604479,7.005,0.002,hip2,HIP15819,
20194,,,4.328444,-25.024823,7.005,1.443,hip2,HIP20194,
46669,,,9.515318,-5.661592,7.005,1.050,hip2,HIP46669,
95586,,,19.442189,11.851007,7.005,0.439,hip2,HIP95586,
41874,,,8.538042,-41.832443,7.005,-0.054,hip2,HIP41874,
98788,,,20.063782,14.982996,7.005,0.874,hip2,HIP98788,
113772,,,23.040324,59.852686,7.005,-0.015,hip2,HIP113772,
20948,,,4.491746,17.863243,7.005,0.451,hip2,HIP20948,
,,,16.494482,-41.110787,7.005,-0.026,tyc2,TYC7857-00571-1,7857-00571-1
83973,,,17.164747,-47.031430,7.005,0.327,hip2,HIP83973,
53085,,,10.860351,-21.250096,7.005,2.600,hip2,HIP53085,
57401,,,11.768414,7.174286,7.005,1.645,hip2,HIP57401,
25742,,,5.496528,12.270642,7.005,-0.088,hip2,HIP25742,
51386,,,10.495088,1.491422,7.006,0.562,hip2,HIP51386,
6369,,,1.363577,-66.384116,7.006,0.224,hip2,HIP6369,
52762,,,10.788634,-57.325429,7.006,0.150,hip2,HIP52762,
7767,,,1.666142,41.666741,7.006,0.920,hip2,HIP7767,
55641,,,11.398160,37.234851,7.006,0.259,hip2,HIP55641,
65239,,,13.368958,-12.579533,7.006,1.610,hip2,HIP65239,
92268,,,18.804101,-33.908146,7.006,0.181,hip2,HIP92268,
74745,,,15.275657,-39.560926,7.006,1.469,hip2,HIP74745,
117769,,,23.883353,41.345697,7.006,1.673,hip2,HIP117769,
,,,2.636855,50.491306,7.006,1.645,tyc2,TYC3304-02394-1,3304-02394-1
52636,,,10.764049,-40.973392,7.006,1.033,hip2,HIP52636,
98371,,,19.985855,27.512622,7.006,1.285,hip2,HIP98371,
98951,,,20.090514,-34.666809,7.006,0.008,hip2,HIP98951,
100116,,,20.309743,17.362165,7.006,1.363,hip2,HIP100116,
13393,,,2.872911,42.020975,7.006,1.147,hip2,HIP13393,
2965,,,0.627970,21.099776,7.006,1.101,hip2,HIP2965,
44368,,,9.035240,-40.554717,7.006,0.416,hip2,HIP44368,
80797,,,16.497531,5.970776,7.006,0.428,hip2,HIP80797,
96075,,,19.533836,20.929439,7.006,-0.016,hip2,HIP96075,
33507,,,6.964999,41.705589,7.006,1.016,hip2,HIP33507,
42732,,,8.708522,-8.498533,7.006,-0.046,hip2,HIP42732,
68267,,,13.974955,-14.122061,7.007,0.971,hip2,HIP68267,
112433,,,22.774609,7.582935,7.007,0.458,hip2,HIP112433,
96028,,,19.524540,55.264446,7.007,1.113,hip2,HIP96028,
,,,7.503812,40.846148,7.007,0.017,tyc2,TYC2962-01242-1,2962-01242-1
98191,,,19.953674,0.352061,7.007,0.069,hip2,HIP98191,
12070,,,2.594010,-14.944963,7.007,1.122,hip2,HIP12070,
3509,,,0.746604,67.158321,7.007,0.492,hip2,HIP3509,
45378,,,9.247775,-1.587094,7.007,0.100,hip2,HIP45378,
91777,,,18.714762,-39.285654,7.007,-0.062,hip2,HIP91777,
79529,,,16.229294,-8.117990,7.007,1.071,hip2,HIP79529,
106981,,,21.667182,9.184720,7.007,0.120,hip2,HIP106981,
63331,,,12.978033,-36.275181,7.008,0.172,hip2,HIP63331,
68501,,,14.022869,31.563692,7.008,1.419,hip2,HIP68501,
9911,,,2.126227,-0.616582,7.008,0.624,hip2,HIP9911,
39613,,,8.095297,-45.171214,7.008,-0.138,hip2,HIP39613,
85967,,,17.569605,-45.006361,7.008,-0.018,hip2,HIP85967,
27415,,,5.805469,-33.431736,7.008,1.376,hip2,HIP27415,
39455,,,8.064793,-68.936874,7.008,0.950,hip2,HIP39455,
57630,,,11.817183,16.132417,7.008,1.066,hip2,HIP57630,
25630,,,5.474984,74.307519,7.008,0.037,hip2,HIP25630,
88531,,,18.078562,-59.209449,7.008,0.624,hip2,HIP88531,
111443,,,22.576819,26.598209,7.008,1.478,hip2,HIP111443,
74653,,,15.254266,-70.519224,7.008,0.740,hip2,HIP74653,
83858,,,17.138136,-41.024494,7.008,0.561,hip2,HIP83858,
5209,,,1.110460,8.360132,7.008,0.301,hip2,HIP5209,
47880,,,9.757953,10.221949,7.008,1.620,hip2,HIP47880,
63320,,,12.976082,28.319542,7.008,0.256,hip2,HIP63320,
73189,,,14.958871,-25.441783,7.008,0.205,hip2,HIP73189,
10856,,,2.329025,60.029566,7.008,0.224,hip2,HIP10856,
31201,,,6.546138,-27.404584,7.008,0.547,hip2,HIP31201,
70866,,,14.491984,-26.013350,7.008,1.495,hip2,HIP70866,
27479,,,5.818695,-32.504348,7.008,1.564,hip2,HIP27479,
95156,,,19.360026,52.376348,7.008,0.288,hip2,HIP95156,
7253,,,1.557319,54.944869,7.009,1.852,hip2,HIP7253,
97420,,,19.800247,27.868990,7.009,0.660,hip2,HIP97420,
70693,,,14.458729,-35.447102,7.009,0.571,hip2,HIP70693,
90274,,,18.419484,64.838271,7.009,0.995,hip2,HIP90274,
34952,,,7.231968,78.752381,7.009,0.284,hip2,HIP34952,
75461,,,15.415892,-72.046325,7.009,0.085,hip2,HIP75461,
159,,,0.034054,-2.766163,7.009,0.292,hip2,HIP159,
47436,,,9.666070,35.335950,7.009,0.504,hip2,HIP47436,
31203,,,6.546210,-61.827950,7.009,1.265,hip2,HIP31203,
92491,,,18.849965,-20.295218,7.009,0.854,hip2,HIP92491,
38834,,,7.947487,-59.125788,7.009,2.025,hip2,HIP38834,
58402,,,11.975022,-70.739998,7.009,-0.030,hip2,HIP58402,
68958,,,14.116183,-47.589167,7.009,0.049,hip2,HIP68958,
71146,,,14.550837,5.323462,7.009,0.911,hip2,HIP71146,
81616,,,16.669626,-28.940060,7.009,1.591,hip2,HIP81616,
51934,,,10.609112,-59.190335,7.010,-0.104,hip2,HIP51934,
70145,,,14.352607,19.180183,7.010,1.619,hip2,HIP70145,
107914,,,21.863410,64.899938,7.010,0.997,hip2,HIP107914,
110383,,,22.357992,14.370206,7.010,0.242,hip2,HIP110383,
46621,,,9.506550,21.812744,7.010,0.240,hip2,HIP46621,
56908,,,11.665851,-33.449842,7.010,0.000,hip2,HIP56908,
64460,,,13.212724,-1.758359,7.010,1.397,hip2,HIP64460,
5169,,,1.101761,-10.985377,7.010,1.000,hip2,HIP5169,
42403,,,8.645986,23.686266,7.010,0.547,hip2,HIP42403,
111425,,,22.574187,-34.675254,7.010,1.054,hip2,HIP111425,
2710,,,0.574226,-6.503696,7.010,0.481,hip2,HIP2710,
75039,,,15.333982,40.983731,7.010,0.510,hip2,HIP75039,
89807,,,18.327936,67.435024,7.010,1.654,hip2,HIP89807,
31520,,,6.599827,31.479298,7.010,1.626,hip2,HIP31520,
53675,,,10.982414,-19.604620,7.010,1.062,hip2,HIP53675,
7514,,,1.613426,-48.803979,7.010,0.937,hip2,HIP7514,
75104,,,15.347278,31.479770,7.010,0.532,hip2,HIP75104,
2271,,,0.482500,48.413718,7.010,1.617,hip2,HIP2271,
16350,,,3.511270,-9.730328,7.010,1.315,hip2,HIP16350,
