HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
11533,,,2.478298,-19.798829,8.000,0.422,hip2,HIP11533,
25386,,,5.431013,43.232321,8.000,1.724,hip2,HIP25386,
66797,,,13.691511,-27.232224,8.000,1.025,hip2,HIP66797,
69441,,,14.216867,-31.238998,8.000,0.529,hip2,HIP69441,
72475,,,14.819274,20.401308,8.000,1.132,hip2,HIP72475,
99614,,,20.215805,40.721189,8.000,0.074,hip2,HIP99614,
96326,,,19.584842,-53.520894,8.000,0.383,hip2,HIP96326,
101879,,,20.645134,-17.065246,8.000,1.505,hip2,HIP101879,
104413,,,21.151978,-27.107613,8.000,1.191,hip2,HIP104413,
12494,,,2.678786,-58.136989,8.000,0.616,hip2,HIP12494,
26644,,,5.662566,4.434588,8.000,-0.040,hip2,HIP26644,
51377,,,10.493328,23.970769,8.000,0.256,hip2,HIP51377,
113838,,,23.052982,-31.142839,8.000,0.334,hip2,HIP113838,
31881,,,6.664774,6.056943,8.001,-0.036,hip2,HIP31881,
138,,,0.029147,-16.531721,8.001,1.074,hip2,HIP138,
43519,,,8.863712,11.894145,8.001,1.102,hip2,HIP43519,
44058,,,8.972401,-32.142117,8.001,0.466,hip2,HIP44058,
110816,,,22.451430,39.671847,8.001,1.113,hip2,HIP110816,
113226,,,22.929740,43.559300,8.001,0.046,hip2,HIP113226,
26656,,,5.665395,-3.330491,8.001,-0.122,hip2,HIP26656,
34824,,,7.207673,-8.212025,8.001,-0.043,hip2,HIP34824,
100076,,,20.303092,49.043322,8.001,0.021,hip2,HIP100076,
110628,,,22.410786,-33.269531,8.001,0.544,hip2,HIP110628,
114106,,,23.110293,42.657371,8.001,-0.040,hip2,HIP114106,
39148,,,8.007267,25.034062,8.001,0.092,hip2,HIP39148,
57528,,,11.790848,-19.196091,8.001,0.275,hip2,HIP57528,
76542,,,15.632971,-5.421862,8.001,1.478,hip2,HIP76542,
95740,,,19.473495,8.358135,8.001,0.678,hip2,HIP95740,
105839,,,21.437285,-21.830137,8.001,1.416,hip2,HIP105839,
113262,,,22.935655,35.694427,8.001,1.082,hip2,HIP113262,
43735,,,8.907618,14.244891,8.001,1.203,hip2,HIP43735,
70768,,,14.473159,-23.012467,8.001,0.505,hip2,HIP70768,
87524,,,17.881276,29.680467,8.001,0.225,hip2,HIP87524,
11329,,,2.429735,20.280268,8.001,0.790,hip2,HIP11329,
16132,,,3.463776,24.182798,8.001,1.090,hip2,HIP16132,
,,,5.244012,30.671679,8.001,0.049,tyc2,TYC2389-01526-1,2389-01526-1
26556,,,5.646816,55.747919,8.001,0.483,hip2,HIP26556,
,,,6.596763,-41.054729,8.001,1.029,tyc2,TYC7618-01579-1,7618-01579-1
,,,6.976619,-4.533530,8.001,1.312,tyc2,TYC4809-02572-1,4809-02572-1
,,,7.046258,-7.022910,8.001,0.329,tyc2,TYC4826-00605-1,4826-00605-1
42266,,,8.618664,-43.533181,8.001,0.269,hip2,HIP42266,
,,,10.661395,-43.549206,8.001,1.344,tyc2,TYC7722-00526-1,7722-00526-1
